# Durée requise PROPRE à un régime spécial, par génération
# --------------------------------------------------------
# source_id: legifrance_textes
#
# LA SNCF ET LA RATP N'ONT PAS LA DURÉE DU RÉGIME GÉNÉRAL. Chacun de
# leurs décrets écrit sa table, et les fiches leur opposaient celle de l'article
# L. 161-17-3 (`duree_assurance_requise.csv`) : jusqu'à cinq trimestres d'écart
# pour un agent de conduite de la SNCF, qui atteint les 172 trimestres treize
# générations après le salarié du privé. Un trimestre de trop coûte à la fois
# un cent-soixante-douzième de prorata et, s'il manque, 1,25 % de décote.
#
# ET LA SUSPENSION DE 2026 NE LES TOUCHE PAS. L'article 105 de la loi du
# 30 décembre 2025 réécrit L. 161-17-2, L. 161-17-3 et le XXIV de la loi de
# 2023 pour la fonction publique ; aucun des trois décrets ci-dessous n'a été
# modifié depuis sur ce point (index LEGI à jour de l'incrément du 21 septembre
# 2026, index JORF de 2025 et 2026 relu sur leurs numéros). La table commune,
# que la suspension a abaissée d'un trimestre pour 1964-1965, ne vaut donc pas
# pour eux.
#
# CE QUE CHAQUE TABLE TRANSCRIT, pour les pensions prenant effet à compter du
# 1er janvier 2025 — les fiches ne la branchent que sur leurs périodes de 2025
# et après ; avant, la durée se lisait à l'année où les conditions étaient
# réunies, et la table commune reste le repli :
#   `sncf_conduite` — décret n° 2008-639, article 35, I, 2° (LEGIARTI000048897024,
#       version du 7 janvier 2024, lue le 22 septembre 2026) : agents du 1° du I
#       de l'article 1er, les agents de conduite. 167 trimestres des nés du
#       1er novembre 1968 à 1969, 168 pour 1970-1971, 169 pour 1972, 170 pour
#       1973-1975, 171 pour 1976-1977, 172 à compter de 1978.
#   `ratp` — décret n° 2008-637, article 51, I (LEGIARTI000052292971, version du
#       27 septembre 2025) : tous les assurés. 167 des nés du 1er juillet 1959
#       à 1960, 168 pour 1961-1962, 169 pour 1963, 170 pour 1964-1965, 171 pour
#       1966-1967, 172 à compter de 1968.
#
# LES IEG N'Y SONT PAS, et c'est voulu. Le I de l'article 45 de leur annexe 3
# porte les mêmes marches que la RATP, mais pour les SÉDENTAIRES ; le cas type
# du dépôt est un agent en services actifs, et le I bis du même article lui
# donne, depuis 2025, une table par durée de services actifs — cinq, huit,
# onze, quatorze ans et plus —, chacune décalée d'une génération. La porter
# demande de savoir combien d'années actives compte la carrière : c'est la
# ligne `duree_requise_ieg` du registre de veille.
#
# LA COLONNE `retranche_decote` N'EXISTE QUE POUR LA SNCF. Le II de l'article 35
# du décret n° 2008-639 ajoute : « Pour le calcul du nombre de trimestres
# supplémentaires prévu au 2° du I de l'article 13 […] en retranchant aux
# durées d'assurance requises pour bénéficier du pourcentage maximum de la
# pension » deux trimestres pour les agents de conduite nés en 1973, trois pour
# 1974-1975, cinq pour 1976, six pour 1977, huit pour 1978, neuf pour 1979, dix
# à compter de 1980. La décote se compte donc, par la durée, sur une cible plus
# basse que celle du taux plein — ce que le relèvement de 2023 a pris d'une
# main, cet alinéa le rend de l'autre pour la décote. La proratisation et la
# surcote gardent la durée entière. La RATP n'écrit rien de tel : sa colonne
# est à zéro.
#
# `haute` : lues dans le texte en vigueur de l'index LEGI, non recontrôlées par
# un récupérateur.
table,generation,trimestres,retranche_decote,fiabilite
sncf_conduite,1968.833,167,0,haute
sncf_conduite,1970,168,0,haute
sncf_conduite,1972,169,0,haute
sncf_conduite,1973,170,2,haute
sncf_conduite,1974,170,3,haute
sncf_conduite,1976,171,5,haute
sncf_conduite,1977,171,6,haute
sncf_conduite,1978,172,8,haute
sncf_conduite,1979,172,9,haute
sncf_conduite,1980,172,10,haute
ratp,1959.5,167,0,haute
ratp,1961,168,0,haute
ratp,1963,169,0,haute
ratp,1964,170,0,haute
ratp,1966,171,0,haute
ratp,1968,172,0,haute
